0.25,"(0.41423411205357313, 0.4567585988981569, 0.4872681068024933, 0.513121539337646, 0.09594388987113547, 0.17144531290072187, 0.23584982467132562, 0.2777522492187382, 0.43712233537681977, 0.6609055030435103, 0.8381453154265746, 0.9495098039215686)"
0.25,"(0.42115402419547665, 0.45878316926861795, 0.491080188636208, 0.5158955934175598, 0.09632267774992335, 0.17186653330145046, 0.23525608780709698, 0.2777522492187382, 0.4377633610178454, 0.6625258734138806, 0.8371921563851802, 0.9495098039215686)"
0.25,"(0.4313243183869796, 0.4620360702670076, 0.4945251259956755, 0.5191431666362336, 0.09605592289983517, 0.17227941828880355, 0.2355484854679157, 0.2777522492187382, 0.4348237080781925, 0.6631668990549062, 0.8377873944804183, 0.9495098039215686)"
0.25,"(0.4353884698839793, 0.4640072058055921, 0.4955234637322763, 0.5230859267031834, 0.09634327922167422, 0.1720358079002656, 0.2355484854679157, 0.2777522492187382, 0.43593481918930355, 0.6609110067990139, 0.8377873944804183, 0.9495098039215686)"
0.25,"(0.4384036228498262, 0.46404866147586116, 0.4958253382405454, 0.5238711178671557, 0.09642168423959538, 0.17205623273686693, 0.23594556523999546, 0.2777522492187382, 0.4367634444247085, 0.657786006799014, 0.8395194206242091, 0.9495098039215686)"
0.25,"(0.43913401869714036, 0.4660231964405852, 0.4984648130391757, 0.5240932960032454, 0.09751097854317538, 0.1718605399849523, 0.23594556523999546, 0.2777522492187382, 0.4418687557800199, 0.6568731635806679, 0.8395194206242091, 0.9495098039215686)"
0.25,"(0.44348789783624465, 0.4669930749492811, 0.49870063579959345, 0.5239802512769018, 0.09782544395198042, 0.1714428808377849, 0.23564794619237645, 0.2777522492187382, 0.4422310746205996, 0.6562049048241738, 0.8380042691090578, 0.9495098039215686)"
0.25,"(0.40307283227852575, 0.4497307273669625, 0.48125739327159833, 0.5068353292123465, 0.09531728852943112, 0.1719198413496888, 0.23621233634266084, 0.2777522492187382, 0.43470849105121073, 0.6568852096114524, 0.8423119820932413, 0.9495098039215686)"
0.25,"(0.40539560283047327, 0.45024454900703215, 0.4843007401840808, 0.5080929719640398, 0.0955317134806982, 0.17251160780095504, 0.23621233634266084, 0.2777522492187382, 0.4354563542990739, 0.667592280318523, 0.8423119820932413, 0.9495098039215686)"
0.25,"(0.4096237992396493, 0.45109399161057073, 0.48422749305369095, 0.5090852037515504, 0.0955317134806982, 0.17214123743058468, 0.23584982467132562, 0.2777522492187382, 0.4354563542990739, 0.6664811692074118, 0.8381453154265746, 0.9495098039215686)"
0.25,"(0.4113181791823252, 0.4503706956064622, 0.48430295786203265, 0.511278346434503, 0.09590208385106856, 0.17178016181613345, 0.23584982467132562, 0.2777522492187382, 0.4360973799400996, 0.6613134284514358, 0.8381453154265746, 0.9495098039215686)"
0.25,"(0.41284950370521983, 0.4538934849176341, 0.4864468310749789, 0.5120138844934718, 0.0962644026916483, 0.17144531290072187, 0.23584982467132562, 0.2777522492187382, 0.4376125314552511, 0.6609055030435103, 0.8381453154265746, 0.9495098039215686)"
0.25,"(0.4202444270812142, 0.45704415475240295, 0.48881317017445364, 0.5138316396577293, 0.09664319057043617, 0.17186653330145046, 0.23525608780709698, 0.2777522492187382, 0.4382535570962768, 0.6625258734138806, 0.8371921563851802, 0.9495098039215686)"
0.25,"(0.4278666148231846, 0.4594092284570423, 0.4929937573730206, 0.5180274607271049, 0.09637643572034799, 0.1719707763134949, 0.2355484854679157, 0.2777522492187382, 0.43531390415662385, 0.6613150472030543, 0.8377873944804183, 0.9495098039215686)"
0.25,"(0.4306902923821326, 0.4607066406214308, 0.494912349437863, 0.5204389691443139, 0.09738138463477965, 0.1720358079002656, 0.23522797264740286, 0.2777522492187382, 0.43881817766089737, 0.6609110067990139, 0.837297198401987, 0.9495098039215686)"
0.25,"(0.43212068992813674, 0.4625067936824506, 0.495930058093233, 0.5217079451374811, 0.09738138463477965, 0.17178300869315105, 0.2355751948696251, 0.2777522492187382, 0.43881817766089737, 0.6554050544180615, 0.8384083095130982, 0.9495098039215686)"
0.25,"(0.4322844213431068, 0.46521295245310196, 0.49729579554871156, 0.5222517822546027, 0.09847067893835966, 0.1715873159412364, 0.23594556523999546, 0.2777522492187382, 0.4439234890162087, 0.6544922111997155, 0.8395194206242091, 0.9495098039215686)"
0.25,"(0.4391024406582427, 0.46517263744896126, 0.4970596233283376, 0.5213939032709229, 0.09816910492064139, 0.171169656794069, 0.23564794619237645, 0.2777522492187382, 0.44289221086997105, 0.6538239524432214, 0.8380042691090578, 0.9495098039215686)"
0.25,"(0.4008327691933028, 0.44885015382332233, 0.4818451126392179, 0.5085716114956197, 0.09531728852943112, 0.17226706357191102, 0.2359199386818421, 0.2777522492187382, 0.43470849105121073, 0.6579963207225634, 0.8417167439980031, 0.9495098039215686)"
0.25,"(0.40328735094416995, 0.4488455534040802, 0.4830288565250538, 0.5086319258731743, 0.09523931581987947, 0.17221921014013633, 0.23621755772946115, 0.2777522492187382, 0.43466270350542313, 0.6620367247629674, 0.8432318955131546, 0.9495098039215686)"
0.25,"(0.40875113988211087, 0.4495322866193582, 0.48375030597789576, 0.5089781197774293, 0.09516134311032783, 0.17184883976976595, 0.2352749411348007, 0.2777522492187382, 0.4343452431879628, 0.6609256136518563, 0.8347722995535586, 0.9495098039215686)"
0.25,"(0.40960955232988266, 0.45076644882132677, 0.485677088865676, 0.5107851106908078, 0.09590208385106856, 0.17149280549429438, 0.23524296160170188, 0.2777522492187382, 0.4360973799400996, 0.6602023173403248, 0.8358834106646696, 0.9495098039215686)"
0.25,"(0.41065405636019087, 0.4526538495261571, 0.4866410316718162, 0.5122169870872573, 0.0962644026916483, 0.17088473253516692, 0.23464922473747324, 0.2777522492187382, 0.4376125314552511, 0.6593314289694362, 0.8349302516232754, 0.9495098039215686)"
0.25,"(0.4200849307231504, 0.4562949293576306, 0.48979739475962786, 0.5148334135282724, 0.09699041279265841, 0.17099731096058687, 0.23496369014627827, 0.2777522492187382, 0.4393646682073879, 0.6571819580699653, 0.8365969182899421, 0.9495098039215686)"
