0.25,0.0,0.0,1.0,"(0.4169372033211391, 0.4286639739364985, 0.4693505859330764, 0.5082341944368248, 0.09772834198035918, 0.18036275786184686, 0.23491939129601064, 0.27797132020870446, 0.4458477240497851, 0.7002266906747939, 0.8214886759805613, 0.9483986928104574)"
0.25,0.0,0.1,0.0,"(0.4162071796446926, 0.4325621663831413, 0.4679931280358808, 0.49994190686589923, 0.09596744381990681, 0.1795769629588495, 0.23321055455981848, 0.27797132020870446, 0.4065187510075768, 0.6676332329342773, 0.8168234976900631, 0.9483986928104574)"
0.25,0.0,0.1,0.1,"(0.41730055529062876, 0.43617097859321324, 0.4729616968329734, 0.5039914447791765, 0.09728569710749972, 0.17954614322026066, 0.23291815689899975, 0.27797132020870446, 0.4304236655374913, 0.6667318739446831, 0.8160298468964124, 0.9483986928104574)"
0.25,0.0,0.1,0.2,"(0.4222911137020786, 0.4369018613554746, 0.4733667997630049, 0.5053616268043288, 0.09727287659467922, 0.17990075314933868, 0.23348377860353434, 0.27797132020870446, 0.4304236655374913, 0.6833985406113499, 0.8172864606530262, 0.9483986928104574)"
0.25,0.0,0.1,0.3,"(0.4222911137020786, 0.43768272665476543, 0.4738431069437102, 0.5038772978201433, 0.09764324696504958, 0.18034718172076725, 0.2337876039635816, 0.27797132020870446, 0.4310646911785169, 0.6841056113184205, 0.8192633726299382, 0.9483986928104574)"
0.25,0.0,0.1,0.4,"(0.4205953497938287, 0.43628700901711276, 0.4723958823380611, 0.5028166213871471, 0.098040072361875, 0.18003038469230195, 0.23338911843351712, 0.27797132020870446, 0.432175802289628, 0.6842836739964832, 0.8189258017041321, 0.9483986928104574)"
0.25,0.0,0.1,0.5,"(0.420067956771991, 0.4360279982978099, 0.47066187129993875, 0.5063292785694139, 0.09776684831815914, 0.17964012764872683, 0.23274287140569114, 0.27797132020870446, 0.43171283932666504, 0.6827900750028842, 0.8172239088257686, 0.9483986928104574)"
0.25,0.0,0.1,0.6,"(0.41888350527791474, 0.43544117966301865, 0.4748095848474813, 0.5060323969691555, 0.09776684831815914, 0.17995068071985784, 0.23379100012810441, 0.27797132020870446, 0.43171283932666504, 0.6828155125283217, 0.8204639639775884, 0.9483986928104574)"
0.25,0.0,0.1,0.7,"(0.4179542908535728, 0.4322250142470427, 0.4700119566323437, 0.507643707848802, 0.09776684831815914, 0.1795803103494875, 0.2337564935718587, 0.27797132020870446, 0.43171283932666504, 0.6821744868872961, 0.8208680043816289, 0.9483986928104574)"
0.25,0.0,0.1,0.8,"(0.41829432589088705, 0.4304302471946707, 0.4686338400294618, 0.5073341570862222, 0.09808736113867196, 0.1806525128711581, 0.2334359807513459, 0.27797132020870446, 0.43220303540509636, 0.6844168197178642, 0.8203778083031975, 0.9483986928104574)"
